,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE,value
23,玉环市,浙江省,芦浦镇,14,分水山,台州市,K8522,28.195,121.2103,4.0,24.8,24.8
24,玉环市,浙江省,干江镇,14,栈台渔港,台州市,K8566,28.1408,121.3567,48.0,2.2,2.2
25,玉环市,浙江省,坎门街道,14,黄门,台州市,K8550,28.07,121.2361,169.0,7.3,7.3
26,玉环市,浙江省,经济开发区,14,冲旦屿,台州市,K8562,28.1422,121.3258,5.0,33.7,33.7
27,玉环市,浙江省,沙门镇,14,灵门渔港,台州市,K8565,28.2322,121.4056,32.0,3.1,3.1
28,玉环市,浙江省,沙门镇,14,沙门,台州市,K8503,28.2439,121.3803,18.0,6.6,6.6
29,玉环市,浙江省,大麦屿街道,14,雕鹰山,台州市,K8527,28.1192,121.1981,238.0,13.3,13.3
30,玉环市,浙江省,鸡山乡,14,鸡山,台州市,K8513,28.1061,121.3642,59.0,4.9,4.9
31,玉环市,浙江省,龙溪乡,14,花岩浦,台州市,K8510,28.1961,121.3092,48.0,91.7,91.7
32,玉环市,浙江省,干江镇,14,干江,台州市,K8502,28.1664,121.3717,145.0,15.3,15.3
33,玉环市,浙江省,坎门街道,14,灯塔社区,台州市,K8564,28.0864,121.2892,26.0,2.3,2.3
34,玉环市,浙江省,沙门镇,14,吊船湾,台州市,K8530,28.2222,121.3753,3.0,31.8,31.8
35,玉环市,浙江省,清港镇,14,大雷山,台州市,K8521,28.3153,121.3458,332.0,3.8,3.8
36,温岭市,浙江省,城东街道,14,城东,台州市,K8423,28.4119,121.3767,5.0,8.0,8.0
37,温岭市,浙江省,新河镇,14,长屿村,台州市,K8474,28.4467,121.4456,26.0,15.5,15.5
38,温岭市,浙江省,城南镇,14,岙环,台州市,K8410,28.2861,121.3994,32.0,10.8,10.8
39,温岭市,浙江省,温峤镇,14,前洋下,台州市,K8482,28.3922,121.3036,5.0,23.6,23.6
40,温岭市,浙江省,新河镇,14,新河,台州市,K8408,28.4781,121.4594,7.0,33.9,33.9
41,温岭市,浙江省,滨海镇,14,滨海中学,台州市,K8464,28.4683,121.5203,10.0,2.4,2.4
42,温岭市,浙江省,泽国镇,14,泽国二小,台州市,K8441,28.4969,121.3361,5.0,40.1,40.1
43,温岭市,浙江省,新河镇,14,楼岙村,台州市,K8472,28.4489,121.4231,23.0,3.1,3.1
44,温岭市,浙江省,温峤镇,14,青屿校区,台州市,K8466,28.3636,121.2439,30.0,20.5,20.5
45,温岭市,浙江省,太平街道,14,温岭中学,台州市,K8463,28.3747,121.3969,6.0,30.4,30.4
46,温岭市,浙江省,泽国镇,14,黄茅山,台州市,K8402,28.5297,121.3078,210.0,8.1,8.1
47,温岭市,浙江省,箬横镇,14,花芯,台州市,K8416,28.4156,121.4511,185.0,10.8,10.8
48,温岭市,浙江省,坞根镇,14,下呈村,台州市,K8475,28.3028,121.2569,35.0,58.1,58.1
49,温岭市,浙江省,温峤镇,14,张老桥,台州市,K8483,28.3972,121.2997,5.0,29.5,29.5
50,温岭市,浙江省,新河镇,14,金路村,台州市,K8471,28.4586,121.4111,22.0,7.2,7.2
51,温岭市,浙江省,温峤镇,14,岭脚村,台州市,K8420,28.3619,121.2825,46.0,36.5,36.5
52,温岭市,浙江省,城南镇,14,后岭村,台州市,K8480,28.2731,121.3789,27.0,4.3,4.3
53,温岭市,浙江省,石塘镇,14,隔海岛,台州市,K8448,28.3039,121.6469,20.0,2.6,2.6
54,温岭市,浙江省,松门镇,14,九洞门,台州市,K8415,28.4125,121.6617,55.0,0.1,0.1
55,温岭市,浙江省,横峰街道,14,横屿山,台州市,K8449,28.4331,121.3353,48.0,6.2,6.2
56,温岭市,浙江省,新河镇,14,长屿小学,台州市,K8465,28.4511,121.4406,6.0,25.6,25.6
57,温岭市,浙江省,松门镇,14,礁山渔港,台州市,K8486,28.3647,121.6156,8.0,2.0,2.0
58,温岭市,浙江省,大溪镇,14,毛竹下,台州市,K8467,28.4383,121.2553,41.0,35.7,35.7
59,温岭市,浙江省,大溪镇,14,翁岙村,台州市,K8470,28.5161,121.2917,37.0,0.4,0.4
60,温岭市,浙江省,新河镇,14,高桥小学,台州市,K8443,28.4894,121.4331,10.0,47.1,47.1
61,温岭市,浙江省,温峤镇,14,市温峤,台州市,K8411,28.3839,121.3003,27.0,20.7,20.7
62,温岭市,浙江省,大溪镇,14,双溪村,台州市,K8469,28.4553,121.2419,25.0,17.4,17.4
63,温岭市,浙江省,温峤镇,14,陈家宅,台州市,K8485,28.3892,121.2886,10.0,24.4,24.4
64,温岭市,浙江省,石塘镇,14,三蒜,台州市,K8425,28.2311,121.6356,95.0,0.1,0.1
65,温岭市,浙江省,大溪镇,14,上洋工业区,台州市,K8468,28.4328,121.2506,42.0,13.1,13.1
66,温岭市,浙江省,箬横镇,14,粮食功能区,台州市,K8426,28.4111,121.5644,6.0,8.1,8.1
67,温岭市,浙江省,城北街道,14,城北,台州市,K8424,28.4572,121.3997,34.0,11.1,11.1
68,温岭市,浙江省,大溪镇,14,大溪高速,台州市,K8427,28.4689,121.2619,5.0,6.2,6.2
69,温岭市,浙江省,温峤镇,14,焦桐村,台州市,K8484,28.3958,121.2944,5.0,33.3,33.3
70,温岭市,浙江省,滨海镇,14,伍佰屿,台州市,K8462,28.4769,121.6092,5.0,2.2,2.2
71,温岭市,浙江省,大溪镇,14,方山,台州市,K8417,28.4206,121.2428,464.0,25.0,25.0
72,温岭市,浙江省,滨海镇,16,滨海,台州市,K8413,28.4506,121.5589,5.0,6.3,6.3
73,温岭市,浙江省,新河镇,14,屿头村,台州市,K8473,28.4467,121.4375,25.0,9.1,9.1
74,温岭市,浙江省,石桥头镇,14,石桥头,台州市,K8401,28.3494,121.4606,8.6,26.7,26.7
75,温岭市,浙江省,箬横镇,14,箬横,台州市,K8412,28.3989,121.5228,5.0,27.2,27.2
76,温岭市,浙江省,泽国镇,14,泽国,台州市,K8429,28.4894,121.3794,10.0,29.9,29.9
77,温岭市,浙江省,松门镇,14,大交陈,台州市,K8481,28.3344,121.6244,3.0,14.1,14.1
78,温岭市,浙江省,新河镇,14,长屿,台州市,K8442,28.4361,121.4358,30.0,2.4,2.4
79,温岭市,浙江省,箬横镇,14,紫荆校区,台州市,K8477,28.405,121.6108,3.0,1.7,1.7
80,温岭市,浙江省,大溪镇,14,火车站,台州市,K8422,28.4822,121.3236,9.0,12.9,12.9
81,温岭市,浙江省,横峰街道,14,横峰,台州市,K8406,28.4475,121.3258,5.0,11.7,11.7
82,温岭市,浙江省,松门镇,14,松门,台州市,K8404,28.3711,121.5664,2.0,46.4,46.4
83,温岭市,浙江省,坞根镇,14,坞根,台州市,K8405,28.3247,121.2611,5.6,17.5,17.5
84,温岭市,浙江省,城南镇,14,犁头咀,台州市,K8461,28.2656,121.4369,30.0,7.4,7.4
85,温岭市,浙江省,箬横镇,14,东浦,台州市,K8444,28.345,121.4997,10.0,7.1,7.1
86,温岭市,浙江省,城南镇,14,彭下村,台州市,K8478,28.3039,121.3833,10.0,7.8,7.8
87,温岭市,浙江省,城西街道,14,城西,台州市,K8430,28.39,121.3681,24.0,12.7,12.7
88,温岭市,浙江省,城南镇,14,温岭南,台州市,K8447,28.3278,121.4594,10.0,25.6,25.6
89,温岭市,浙江省,箬横镇,14,东海塘,台州市,K8409,28.4222,121.6081,7.0,0.9,0.9
90,温岭市,浙江省,石塘镇,14,石塘渔港,台州市,K8407,28.2464,121.6039,25.0,0.2,0.2
91,温岭市,浙江省,坞根镇,14,东门村,台州市,K8476,28.3339,121.2178,18.0,7.0,7.0
92,温岭市,浙江省,城南镇,14,城南小学,台州市,K8446,28.325,121.4075,30.0,37.7,37.7
93,温岭市,浙江省,城南镇,14,上岙村,台州市,K8479,28.2722,121.3767,22.0,4.3,4.3
94,温岭市,浙江省,城南镇,14,山后村,台州市,K8421,28.3194,121.3311,46.0,6.3,6.3
95,温岭市,浙江省,大溪镇,14,太湖山,台州市,K8414,28.4992,121.2019,407.0,0.1,0.1
96,温岭市,浙江省,太平街道,12,温岭,台州市,58664,28.3728,121.3589,35.0,4.1,4.1
97,温岭市,浙江省,石塘镇,13,石塘,台州市,58669,28.2603,121.6164,75.0,0.5,0.5
98,温岭市,浙江省,松门镇,14,实践基地,台州市,K8419,28.3258,121.6189,9.0,19.6,19.6
99,温岭市,浙江省,大溪镇,14,潘郎小学,台州市,K8460,28.4539,121.3058,10.0,19.2,19.2
100,椒江区,浙江省,大陈镇,14,一江山,台州市,K8116,28.6086,121.8156,50.0,0.8,0.8
101,椒江区,浙江省,前所街道,14,二桥,台州市,K8111,28.6944,121.4744,30.0,0.7,0.7
102,椒江区,浙江省,海门街道,13,椒江口,台州市,58661,28.6625,121.5108,3.0,0.1,0.1
103,椒江区,浙江省,章安街道,14,柑橘良种场,台州市,K8121,28.7361,121.3692,150.0,6.2,6.2
104,椒江区,浙江省,葭沚街道,14,台州植物园,台州市,K8137,28.6331,121.3572,10.0,40.0,40.0
105,椒江区,浙江省,海门街道,14,东方红,台州市,K8101,28.6781,121.4467,21.0,0.9,0.9
106,椒江区,浙江省,洪家街道,12,洪家,台州市,58665,28.6181,121.4164,4.6,5.7,5.7
107,椒江区,浙江省,前所街道,14,新民小学,台州市,K8191,28.7058,121.4144,6.0,1.5,1.5
108,椒江区,浙江省,葭沚街道,14,乌石,台州市,K8118,28.6833,121.375,5.0,12.1,12.1
109,椒江区,浙江省,章安街道,14,柏树里,台州市,K8108,28.7303,121.4508,6.0,4.7,4.7
110,椒江区,浙江省,洪家街道,14,洪家二中,台州市,K8124,28.6097,121.4144,5.0,5.5,5.5
111,椒江区,浙江省,章安街道,14,李宅,台州市,K8128,28.76,121.3928,45.0,1.5,1.5
112,椒江区,浙江省,三甲街道,14,雷达站,台州市,K8114,28.6186,121.5228,3.0,0.1,0.1
113,椒江区,浙江省,海门街道,14,岳头村,台州市,K8112,28.6642,121.4556,5.0,0.4,0.4
114,椒江区,浙江省,葭沚街道,14,高铁台州站,台州市,K8136,28.6575,121.3764,5.0,19.4,19.4
115,椒江区,浙江省,章安街道,14,马峙,台州市,K8104,28.7539,121.4047,21.0,1.5,1.5
116,椒江区,浙江省,三甲街道,14,烟草中心,台州市,K8122,28.59,121.5361,3.0,1.7,1.7
117,椒江区,浙江省,下陈街道,14,下陈,台州市,K8107,28.5931,121.4592,4.0,0.6,0.6
118,椒江区,浙江省,三甲街道,14,新佳果,台州市,K8109,28.6194,121.5092,3.0,0.3,0.3
119,椒江区,浙江省,白云街道,14,赤龙,台州市,K8001,28.6547,121.4189,27.0,3.7,3.7
120,椒江区,浙江省,洪家街道,14,挡港桥,台州市,K8115,28.5903,121.3997,11.0,11.7,11.7
121,椒江区,浙江省,章安街道,14,大桥,台州市,K8106,28.7081,121.3967,5.0,3.7,3.7
122,椒江区,浙江省,葭沚街道,14,创谷基金港,台州市,K8138,28.6289,121.3872,5.0,24.6,24.6
123,椒江区,浙江省,前所街道,14,六联小学,台州市,K8129,28.7178,121.4994,6.0,0.7,0.7
124,椒江区,浙江省,前所街道,14,涛江闸,台州市,K8103,28.6967,121.4897,13.0,0.5,0.5
125,椒江区,浙江省,葭沚街道,14,绿心,台州市,K8003,28.6389,121.3522,205.0,55.0,55.0
126,椒江区,浙江省,白云街道,14,江滨公园,台州市,K8141,28.6856,121.4328,5.0,1.5,1.5
127,椒江区,浙江省,章安街道,14,江北药业,台州市,K8127,28.7061,121.3672,5.0,16.4,16.4
128,椒江区,浙江省,下陈街道,14,海正育才小学,台州市,K8130,28.6131,121.4469,11.0,3.8,3.8
129,椒江区,浙江省,下陈街道,14,横河陈,台州市,K8135,28.6239,121.4308,4.0,13.5,13.5
130,三门县,浙江省,浦坝港镇,14,小岭下,台州市,K8848,28.9442,121.6722,5.0,3.0,3.0
131,三门县,浙江省,浦坝港镇,14,念寺塘,台州市,K8885,28.8567,121.5758,13.0,8.0,8.0
132,三门县,浙江省,横渡镇,14,善见村,台州市,K8870,28.9919,121.4514,60.0,30.8,30.8
133,三门县,浙江省,花桥镇,14,花桥,台州市,K8809,28.9208,121.4714,21.0,0.9,0.9
134,三门县,浙江省,海游街道,12,三门,台州市,58568,29.1228,121.3833,34.5,9.8,9.8
135,三门县,浙江省,花桥镇,14,吴都,台州市,K8882,28.9053,121.5181,3.0,8.3,8.3
136,三门县,浙江省,浦坝港镇,14,鹤井村,台州市,K8813,28.8758,121.6383,53.0,9.3,9.3
137,三门县,浙江省,浦坝港镇,14,毛石源,台州市,K8843,28.8961,121.5806,17.0,0.1,0.1
138,三门县,浙江省,浦坝港镇,14,三角塘,台州市,K8802,28.9381,121.7144,25.0,1.3,1.3
139,三门县,浙江省,海润街道,14,滨海新城,台州市,K8820,29.1236,121.48,14.0,1.7,1.7
140,三门县,浙江省,花桥镇,14,银山村,台州市,K8868,28.9336,121.4381,290.0,4.6,4.6
141,三门县,浙江省,浦坝港镇,14,扩塘山,台州市,K8826,28.8911,121.6617,43.0,0.2,0.2
142,三门县,浙江省,沙柳街道,14,后周,台州市,K8849,29.1578,121.4103,130.0,18.9,18.9
143,三门县,浙江省,亭旁镇,14,下吴村,台州市,K8867,29.0189,121.3144,58.0,5.8,5.8
144,三门县,浙江省,横渡镇,14,长林村,台州市,K8879,29.0142,121.4353,76.0,9.1,9.1
145,三门县,浙江省,海游街道,14,林场,台州市,K8840,29.0492,121.4242,627.0,7.0,7.0
146,三门县,浙江省,珠岙镇,14,吴岙,台州市,K8829,29.0544,121.2419,71.0,0.1,0.1
147,三门县,浙江省,浦坝港镇,14,大域,台州市,K8884,28.9383,121.6222,10.0,13.8,13.8
148,三门县,浙江省,亭旁镇,14,百两岗,台州市,K8806,28.9839,121.3986,466.0,10.3,10.3
149,三门县,浙江省,健跳镇,14,海游港,台州市,K8845,29.105,121.5181,45.0,0.1,0.1
150,三门县,浙江省,浦坝港镇,14,工业城,台州市,K8844,28.9178,121.6681,11.0,4.1,4.1
151,三门县,浙江省,健跳镇,14,健跳港,台州市,K8889,29.0325,121.6267,67.0,0.8,0.8
152,三门县,浙江省,海润街道,14,叶家村,台州市,K8812,29.0675,121.4881,51.0,3.8,3.8
153,三门县,浙江省,浦坝港镇,14,浬浦,台州市,K8811,28.9711,121.5808,79.0,1.7,1.7
154,三门县,浙江省,横渡镇,14,横渡,台州市,K8805,29.0117,121.5094,52.0,20.1,20.1
155,三门县,浙江省,亭旁镇,14,枧头村,台州市,K8828,29.0244,121.3881,415.0,14.8,14.8
156,三门县,浙江省,亭旁镇,14,石门坑,台州市,K8866,29.005,121.3572,120.0,0.3,0.3
157,三门县,浙江省,浦坝港镇,14,里陈坑,台州市,K8880,28.9753,121.6486,41.0,3.3,3.3
158,三门县,浙江省,浦坝港镇,14,五子岛,台州市,K8862,29.0056,121.7608,12.0,24.5,24.5
159,三门县,浙江省,浦坝港镇,14,三门岛,台州市,K8860,28.9647,121.7919,12.0,6.6,6.6
160,三门县,浙江省,健跳镇,14,珠港村,台州市,K8877,29.0703,121.6053,9.0,5.3,5.3
161,三门县,浙江省,蛇蟠乡,14,蛇蟠旅游,台州市,K8830,29.1619,121.5706,5.0,6.4,6.4
162,三门县,浙江省,健跳镇,14,健跳,台州市,K8810,29.0139,121.6083,13.0,3.5,3.5
163,三门县,浙江省,横渡镇,14,岭根陈,台州市,K8883,28.9736,121.5094,28.0,16.4,16.4
164,三门县,浙江省,沙柳街道,14,下南山,台州市,K8822,29.1508,121.3683,214.0,0.1,0.1
165,三门县,浙江省,沙柳街道,14,板樟山,台州市,K8819,29.1586,121.3514,211.0,0.8,0.8
166,三门县,浙江省,海游街道,14,西城,台州市,K8847,29.1206,121.3617,20.0,11.6,11.6
167,三门县,浙江省,蛇蟠乡,14,小蛇,台州市,K8886,29.1531,121.5469,8.0,1.7,1.7
168,三门县,浙江省,花桥镇,14,芝岙村,台州市,K8878,28.9269,121.5261,40.0,7.6,7.6
169,三门县,浙江省,亭旁镇,14,邵下村,台州市,K8875,29.0694,121.3683,136.0,0.6,0.6
170,三门县,浙江省,蛇蟠乡,14,蛇蟠,台州市,K8803,29.1619,121.5706,5.0,6.8,6.8
171,三门县,浙江省,健跳镇,14,罗岙水库,台州市,K8846,29.0544,121.5444,28.0,0.1,0.1
172,三门县,浙江省,横渡镇,14,东屏村,台州市,K8824,29.0089,121.4683,24.0,13.0,13.0
173,三门县,浙江省,海游街道,14,外俞村,台州市,K8869,29.0864,121.3936,9.0,2.5,2.5
174,三门县,浙江省,浦坝港镇,14,五峙山,台州市,K8872,28.9111,121.7244,14.0,2.0,2.0
175,三门县,浙江省,亭旁镇,14,挂帘,台州市,K8888,28.9547,121.3558,318.0,2.6,2.6
176,三门县,浙江省,海游街道,14,悬诸,台州市,K8817,29.0753,121.405,87.0,4.6,4.6
177,三门县,浙江省,健跳镇,14,龙山,台州市,K8825,29.0667,121.6792,60.0,36.7,36.7
178,三门县,浙江省,浦坝港镇,16,浦坝港,台州市,K8821,28.9269,121.5833,7.2,1.4,1.4
179,三门县,浙江省,海润街道,14,王家村,台州市,K8876,29.1314,121.4242,120.0,4.4,4.4
180,三门县,浙江省,珠岙镇,14,竹墩村,台州市,K8874,29.0242,121.2556,304.0,1.4,1.4
181,三门县,浙江省,亭旁镇,14,亭旁,台州市,K8801,29.0436,121.3403,108.0,2.4,2.4
182,三门县,浙江省,亭旁镇,16,佃石,台州市,K8818,29.0025,121.3147,138.0,4.5,4.5
183,三门县,浙江省,浦坝港镇,13,牛山,台州市,58662,29.0131,121.7056,60.0,39.4,39.4
184,三门县,浙江省,浦坝港镇,14,山场村,台州市,K8808,28.8675,121.5128,34.0,3.4,3.4
185,三门县,浙江省,沙柳街道,14,沙柳,台州市,K8815,29.1522,121.4575,36.0,12.7,12.7
186,三门县,浙江省,健跳镇,14,农气基地,台州市,K8823,29.1086,121.5767,9.0,0.1,0.1
187,仙居县,浙江省,朱溪镇,16,朱溪,台州市,K8903,28.7181,120.7936,116.1,2.2,2.2
188,天台县,浙江省,雷峰乡,14,大雷山,台州市,K8722,29.0003,120.8761,522.0,0.3,0.3
189,仙居县,浙江省,淡竹乡,14,朱坑里,台州市,K8942,28.6042,120.6542,420.0,10.1,10.1
190,仙居县,浙江省,横溪镇,14,银地,台州市,K8971,28.8133,120.475,639.0,0.9,0.9
191,仙居县,浙江省,田市镇,14,柯思,台州市,K8908,28.6639,120.6708,137.0,0.5,0.5
192,临海市,浙江省,东塍镇,14,白岩茶场,台州市,K8662,28.9542,121.4164,510.0,11.6,11.6
193,临海市,浙江省,尤溪镇,14,竹家山,台州市,K8696,28.7181,121.0581,223.0,4.5,4.5
194,仙居县,浙江省,皤滩乡,14,金坑口,台州市,K8987,28.6644,120.5092,222.0,0.5,0.5
195,天台县,浙江省,石梁镇,14,黄龙水库,台州市,K8729,29.2242,121.14,528.0,0.2,0.2
196,仙居县,浙江省,湫山乡,16,雅溪,台州市,K8910,28.6981,120.3361,261.8,4.4,4.4
197,临海市,浙江省,东塍镇,14,岭根村,台州市,K8682,28.9547,121.3808,236.0,2.6,2.6
198,天台县,浙江省,石梁镇,14,下洋村,台州市,K8762,29.3083,121.1458,340.0,0.2,0.2
199,天台县,浙江省,三州乡,14,三州,台州市,K8746,29.2264,120.8475,529.0,10.1,10.1
200,临海市,浙江省,小芝镇,16,小芝,台州市,K8609,28.8522,121.4519,82.0,23.1,23.1
201,临海市,浙江省,上盘镇,16,白沙,台州市,K8611,28.7128,121.6378,37.0,0.1,0.1
202,天台县,浙江省,三合镇,14,大横金,台州市,K8767,29.1031,121.165,80.0,0.1,0.1
203,临海市,浙江省,括苍镇,14,跑马坪,台州市,KJ611,28.7853,120.9142,1255.0,1.6,1.6
204,仙居县,浙江省,步路乡,14,步路,台州市,K8915,28.7772,120.7242,60.0,0.1,0.1
205,天台县,浙江省,洪畴镇,14,东安隐,台州市,K8766,29.0997,121.2433,409.0,0.1,0.1
206,临海市,浙江省,汛桥镇,14,汛桥,台州市,K8607,28.795,121.1706,11.0,14.4,14.4
207,仙居县,浙江省,安洲街道,12,仙居,台州市,58652,28.8672,120.7189,83.2,2.9,2.9
208,仙居县,浙江省,双庙乡,14,长岗山,台州市,K8995,28.7786,120.9033,643.0,1.3,1.3
209,天台县,浙江省,龙溪乡,14,柱峰,台州市,K8723,29.0231,120.77,445.0,8.8,8.8
210,临海市,浙江省,汇溪镇,14,汇溪,台州市,K8614,28.9578,121.2131,58.3,0.6,0.6
211,临海市,浙江省,邵家渡街道,14,牛头山,台州市,K8608,28.84,121.2647,14.0,0.3,0.3
212,天台县,浙江省,街头镇,14,溪地,台州市,K8740,29.0714,120.8411,133.0,0.4,0.4
213,天台县,浙江省,三合镇,14,亭头,台州市,K8704,29.0906,121.1014,55.0,0.1,0.1
214,仙居县,浙江省,横溪镇,14,山岙,台州市,K8920,28.7794,120.4283,553.0,14.9,14.9
215,临海市,浙江省,上盘镇,14,头门,台州市,K8627,28.6911,121.7594,49.0,17.0,17.0
216,天台县,浙江省,泳溪乡,14,北山村,台州市,K8765,29.1561,121.1786,443.0,0.8,0.8
217,天台县,浙江省,平桥镇,14,峇溪漂流,台州市,K8794,29.1703,120.7808,175.0,3.3,3.3
218,临海市,浙江省,大田街道,14,石门村,台州市,K8685,28.9617,121.1519,212.0,13.7,13.7
219,天台县,浙江省,坦头镇,14,西方洋,台州市,K8719,29.12,121.1022,62.0,1.0,1.0
220,仙居县,浙江省,安洲街道,14,四小,台州市,K8927,28.8728,120.7306,75.0,1.1,1.1
221,天台县,浙江省,南屏乡,14,翠西村,台州市,K8785,29.0703,120.9281,390.0,0.9,0.9
222,临海市,浙江省,括苍镇,14,黄家寮,台州市,K8612,28.7483,120.9744,582.0,27.3,27.3
223,临海市,浙江省,古城街道,14,两桥,台州市,K8622,28.8717,121.0797,11.0,2.5,2.5
224,天台县,浙江省,平桥镇,14,紫凝山,台州市,K8709,29.0989,120.8569,443.0,0.9,0.9
225,天台县,浙江省,雷峰乡,14,朱莉农场,台州市,K8797,29.0992,120.8972,97.0,6.8,6.8
226,仙居县,浙江省,福应街道,14,三角地,台州市,K8981,28.9275,120.7975,647.0,3.9,3.9
227,临海市,浙江省,东塍镇,14,麻山村,台州市,KJ601,28.9403,121.3542,325.0,13.2,13.2
228,临海市,浙江省,尤溪镇,14,上白岩,台州市,K8640,28.7292,120.9675,756.4,29.2,29.2
229,临海市,浙江省,邵家渡街道,14,岭上村,台州市,K8642,28.8244,121.2322,146.0,19.7,19.7
230,仙居县,浙江省,安岭乡,14,安岭,台州市,K8916,28.5608,120.3333,488.0,5.6,5.6
231,仙居县,浙江省,横溪镇,14,苍岭西,台州市,K8951,28.7628,120.3233,351.0,13.6,13.6
232,天台县,浙江省,白鹤镇,14,白鹤,台州市,K8701,29.2597,120.9633,331.0,4.7,4.7
233,仙居县,浙江省,广度乡,14,广度,台州市,K8904,28.9464,120.7519,650.0,1.3,1.3
234,天台县,浙江省,平桥镇,14,周家楼,台州市,K8789,29.155,120.7336,313.0,7.7,7.7
235,临海市,浙江省,古城街道,14,北固山,台州市,K8659,28.855,121.1114,55.0,6.0,6.0
236,天台县,浙江省,石梁镇,14,慈圣,台州市,K8728,29.3106,121.0619,241.0,2.3,2.3
237,天台县,浙江省,白鹤镇,14,岭下洋,台州市,K8741,29.2036,120.9628,90.0,44.2,44.2
238,天台县,浙江省,泳溪乡,14,外婆湾,台州市,K8778,29.1558,121.205,181.3,0.1,0.1
239,仙居县,浙江省,湫山乡,14,上蓄能,台州市,K8948,28.6453,120.4169,680.0,0.1,0.1
240,临海市,浙江省,大田街道,14,山里村,台州市,K8686,28.9531,121.1308,177.0,9.2,9.2
241,临海市,浙江省,东塍镇,14,桐坑,台州市,K8672,28.9008,121.3364,480.0,32.8,32.8
242,天台县,浙江省,龙溪乡,14,下辽坑,台州市,K8786,29.0003,120.7953,410.0,3.6,3.6
243,仙居县,浙江省,广度乡,14,祝家辽,台州市,K8984,28.9644,120.6733,837.0,5.6,5.6
244,仙居县,浙江省,溪港乡,14,溪港,台州市,K8912,28.5736,120.3961,219.0,21.4,21.4
245,仙居县,浙江省,横溪镇,14,横溪,台州市,K8902,28.7289,120.4772,116.0,0.1,0.1
246,仙居县,浙江省,福应街道,14,青尖山,台州市,K8945,28.9164,120.7275,824.0,11.3,11.3
247,天台县,浙江省,街头镇,14,九遮山,台州市,K8768,29.025,120.8392,210.0,1.0,1.0
248,仙居县,浙江省,朱溪镇,14,岭上村,台州市,K8998,28.6592,120.8308,178.3,6.2,6.2
249,天台县,浙江省,平桥镇,14,龙官漂流,台州市,K8795,29.2333,120.8939,214.0,17.7,17.7
250,临海市,浙江省,杜桥镇,14,医化园区,台州市,K8621,28.6933,121.5458,15.0,1.1,1.1
251,仙居县,浙江省,湫山乡,14,杨岸,台州市,K8997,28.6997,120.3706,204.0,0.2,0.2
252,仙居县,浙江省,埠头镇,14,山皇塘,台州市,K8986,28.8044,120.545,317.0,0.1,0.1
253,临海市,浙江省,杜桥镇,14,临港,台州市,K8649,28.7136,121.5781,10.0,13.1,13.1
